,Close,High,Low,Open,Volume,rsi_14,rsi_30,roc_9,mom_30,macd,ema_10,ema_30,ema_200,%k_10,%d_10,%k_30,%d_30,%k_200,%d_200,bb_mavg,bb_high,bb_low,atr_14,cci_20,cmf_20,obv,adl
2024-08-08,61710.13671875,62673.765625,54766.7265625,55030.02734375,45298472567,49.300119183769624,48.54798896790766,-6.783700920373908,6.379864679393001,-1572.6675305167882,59937.21841824284,62191.18235863619,59433.33183585397,70.46117162355124,43.965532550525324,60.331242080110854,40.588889369378535,65.82300012208357,54.129239072698645,63696.7453125,72770.97388977729,54622.51673522271,3427.942351305184,-68.8560184518415,-0.017640178235983385,1079597560855,4668324327730.378
2024-08-09,60880.11328125,61751.86328125,59587.859375,61728.20703125,33425553115,47.682962348597734,47.641549260872225,-5.7864130560939655,5.433809412059021,-1420.1171005707438,60108.6538478805,62106.59725686935,59447.72767113154,66.47573733370697,55.080662230270725,56.35342422824781,48.32991468063755,63.4668649572824,58.71439169323177,63382.5685546875,72389.76544808022,54375.37166129479,3337.6610338012424,-45.12811382443068,-0.016749940726625306,1046172007740,4674819498840.203
2024-08-10,60945.8125,61464.51171875,60287.56640625,60881.23046875,15745822278,47.828840145659186,47.7214745310704,-6.75008606510347,6.2793684433381385,-1279.1728989683252,60260.864511902226,62031.707917716485,59462.6339878367,71.78588765549881,69.57426553758566,56.66828223513055,57.78431618116306,62.60577797764622,63.9652143523374,63022.1330078125,71810.94328428512,54233.32273133989,3183.3241965654393,-37.22277616201769,-0.043110541172100655,1061917830018,4676686433752.016
2024-08-11,58719.484375,61778.66015625,58348.82421875,60944.890625,22759754812,43.41146628252305,45.29752261526114,-4.389121739963925,1.4162817108291763,-1331.7678860437154,59980.61357792,61818.016076250904,59455.23946432589,58.51881012872871,65.59347837264482,45.99879103810664,53.00683250049499,56.05657988142975,60.709740938786126,62578.8447265625,71296.37406630475,53861.31538682025,3200.9321780607647,-53.31117806845564,-0.07034846270383471,1039158075206,4658845942968.123
2024-08-12,59354.515625,60680.33203125,57688.8984375,58719.39453125,37078637820,44.97261330215895,46.105288448665156,-2.184535393866296,0.20691956542670564,-1307.1401792105462,59866.77758647999,61659.08056326697,59454.23723706892,75.50825823250794,68.60431867224513,49.042125152079656,50.569732808438935,57.5657531497272,58.74270366960106,62250.1869140625,70933.48035235029,53566.893475774705,3185.967993467139,-53.85539327862875,-0.03565694579157206,1076236713026,4663057753026.433
2024-08-13,60609.56640625,61572.3984375,58506.25390625,59356.20703125,30327698167,48.02447688298418,47.68470477322563,4.288918645087165,-0.29319465931527294,-1172.8307718858705,60001.83009916545,61591.36997249169,59465.73304969759,84.76889832875383,72.93198889666348,55.05685097438622,50.03258905485749,59.340976913342544,57.654436648166495,62012.05859375,70600.52658514692,53423.590602353084,3177.409174737343,-32.271796973527934,0.0073554159322603355,1106564411193,4674338417414.262
2024-08-14,58737.26953125,61687.7578125,58472.875,60611.05078125,29961696180,44.09550727917816,45.621434694057136,8.789932261418961,-9.454090349598015,-1203.594026581508,59771.90999590809,61407.234460153515,59458.48465647921,70.95378600681896,77.0769808560269,46.084024910830166,50.061000345765336,53.16280607569773,56.689845379589165,61660.0607421875,70179.19938429356,53140.92210008145,3180.0858631489614,-39.126627862993374,-0.06416918138701541,1076602715013,4649304868901.831
2024-08-15,57560.09765625,59838.6484375,56161.59375,58733.26171875,35682112440,41.78106991769184,44.37266900931116,2.722940776038121,-11.578158125445922,-1307.8855691312929,59369.76229778843,61159.03208570813,59439.59523359136,41.22553231992084,65.6494055518312,40.442527228319136,47.19446770451183,49.29817940491955,53.933987464653285,61142.4625,69330.77891471153,52954.146085288485,3215.583636316893,-67.83457024084043,-0.1057915986017706,1040920602573,4640764900308.77
2024-08-16,58894.10546875,59847.359375,57110.01953125,57560.2734375,29350938673,45.28579806284249,46.10218634043915,7.026754397484779,-8.148449554479901,-1268.2742106545556,59283.27923796326,61012.90778783987,59434.167474737216,53.06669370023971,55.08200400899315,46.83564801424546,44.45406671779824,53.38702491559877,51.94933679873869,60696.5009765625,68336.12860950724,53056.87334361775,3181.4233654192576,-48.66651513464369,-0.08643775639610686,1070271541246,4649673439762.671
2024-08-17,59478.97265625,59694.66796875,58814.83203125,58893.53125,13589684021,46.79797241499573,46.85164667020587,-3.615555208812369,-7.0264311814339315,-1176.130331242246,59318.859859469936,60913.944230963105,59434.61329743884,59.59558383995273,51.29593662003774,49.63857505738263,45.63891676664906,55.22213962712091,52.63578131587975,60257.65625,67073.90471479837,53441.40778520164,3017.024263425025,-26.4198657890055,-0.10005990258547567,1083861225267,4656599992586.701
